aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
linagliptin	DPP4#P	HSPA8#P|CDCA4#P|KDM5A#P|HSPA1A#P
glimepiride	KCNJ11#P|KCNJ1#P|ABCC8#P	GNAI1#P
ciclesonide	NR3C1#P	RBM34#P
yohimbine	ADRA2A#P|ADRA2B#P|ADRA2C#P	SSBP2#P|NOS3#P|SRC#P|POLR2I#P|SNAP25#P|ERO1A#P|CRIP1#P
prochlorperazine	DRD2#P	CRK#P|NARFL#P|STAT3#P
ondansetron	HTR3A#P	PNKP#P
perhexiline	CPT1A#P|CPT2#P	SPP1#P|PCNA#P
mecamylamine	CHRNA2#P	E2F2#P
atomoxetine	SLC6A2#P	PCNA#P
medrysone	NR3C1#P	EPHA3#P|SNAP25#P|PNKP#P|RPS4Y1#P
diflunisal	PTGS2#P	ITGB1BP1#P|CRK#P
nitrendipine	CACNA1C#P|CACNA2D1#P|CACNB2#P|CACNG1#P|CACNA1D#P|CACNA1S#P	COL11A1#P
fluorouracil	TYMS#P	PCNA#P|IKZF1#P
procaine	SCN10A#P|GRIN3A#P|HTR3A#P|SLC6A3#P	HLA-DRA#P
simvastatin	HMGCR#P	HMGCR#P|INSIG1#P|IKZF1#P|ACAT2#P|ELOVL6#P|NSDHL#P|SNAP25#P|FDFT1#P|EDEM1#P|HMGCS1#P|ALDOC#P|TMEM97#P
travoprost	PTGFR#P	HSPA8#P|DYRK3#P
maprotiline	SLC6A2#P	RPS4Y1#P
chlorthalidone	SLC12A1#P	RPS4Y1#P
sparfloxacin	TOP2A#P	MMP2#P|CERK#P|COL11A1#P|PIGB#P|RPS4Y1#P
diclofenac	PTGS2#P|PTGS1#P|ALOX5#P|SCN4A#P|ASIC1#P|KCNQ2#P|KCNQ3#P	PCNA#P|SNAP25#P|E2F2#P
irinotecan	TOP1#P|TOP1MT#P	PCNA#P
palonosetron	HTR3A#P	UGDH#P
levofloxacin	TOP2A#P	SPP1#P|PCNA#P
flecainide	SCN5A#P|SCN4A#P	SPP1#P|RBM34#P|SNAP25#P
dabrafenib	BRAF#P|RAF1#P	HEBP1#P
verapamil	CACNA1C#P|CACNA1D#P|CACNA1F#P|CACNA1S#P|CACNB1#P|CACNB2#P|CACNB3#P|CACNB4#P	KIAA0355#P
tolcapone	COMT#P	XIST#P|CDKN1B#P
sulfasalazine	ALOX5#P|PTGS2#P|PTGS1#P|PPARG#P	YME1L1#P|CRK#P
granisetron	HTR3A#P	YME1L1#P|ITGB1BP1#P|E2F2#P
latanoprost	PTGFR#P	RPS4Y1#P
carvedilol	ADRB1#P|ADRA1A#P	IKZF1#P|UGDH#P|RBM34#P
olanzapine	HTR2A#P|DRD2#P	PROS1#P|TUBA1A#P|MYLK#P|ARHGEF12#P
neostigmine	ACHE#P	MYLK#P|PTGS2#P
estradiol	ESR1#P|ESR2#P	PTGS2#P|PRSS23#P|NTRK2#P|NOS3#P|IKZF1#P|TLR4#P
sitagliptin	DPP4#P	IL1B#P|DNAJA3#P
eplerenone	NR3C2#P	PTGS2#P
riluzole	SCN5A#P|SLC7A11#P	SIRT3#P
sufentanil	OPRM1#P	ITGAE#P
pantoprazole	ATP4A#P	APOE#P|PTGS2#P|TGFBR2#P|IGFBP3#P
dalfampridine	KCNA1#P|KCNA2#P|KCNA3#P|KCNA4#P|KCNA5#P|KCNA6#P|KCNA7#P|KCNA10#P|KCNB1#P|KCNB2#P|KCNC1#P|KCNC2#P|KCNC3#P|KCND1#P|KCND2#P|KCND3#P	IKZF1#P|PTGS2#P|NFATC4#P|NOS3#P|IGFBP3#P
diphenylpyraline	HRH1#P	IKZF1#P|E2F2#P|IGFBP3#P
itraconazole	CYP51A1#P	SERPINE1#P
warfarin	VKORC1#P	PTGS2#P|E2F2#P
temsirolimus	MTOR#P	EIF5#P|FDFT1#P|MYC#P|NSDHL#P|IER3#P
