aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
fulvestrant	ESR1#P	KLHDC2#P|MRPL19#P|NOLC1#P|MCM7#P|GINS2#P|ERBB2#P|PIK3IP1#P|MSH6#P|MYC#P|FOXM1#P|CCDC92#P|TMPO#P|TPX2#P|KAT6B#P|TTK#P|ACKR3#P|CCNB2#P|CCNB1#P|CDH3#P|CTSL#P|UBE2S#P|CAB39#P|ATG3#P|YKT6#P|CCNA2#P|CBLB#P|DLGAP5#P|PLA2G2A#P|MCM3#P|STMN1#P|FDFT1#P|LIG1#P|TIMM9#P|PARPBP#P|GMNN#P|SRSF7#P|PSMD11#P|DHRS7#P|FOXO4#P|KIF14#P|ATP6V1D#P|BNIP3#P|HEBP1#P|BIRC5#P|WRB#P|DYNLT3#P|MAK16#P|PSIP1#P|KIF15#P|DECR1#P|ID2#P|TIPIN#P|ATF5#P|RAP1GAP#P|HBP1#P|FEN1#P|ISOC1#P|GABPB1#P|DNTTIP2#P|NCL#P|CDKN3#P|TMEM109#P|UBE2L6#P|SESN1#P|DDIT4#P|DENND2D#P|TRAPPC6A#P|NFKBIA#P|BUB1#P|CHEK2#P|CAST#P|LIPA#P|PTPRK#P|ATP1B1#P|PRC1#P|PIK3C2B#P|NRIP1#P|CDKN1A#P|EIF5#P|HIST1H2BK#P|REEP5#P|SMARCD2#P|PARP2#P|LBR#P|RBM28#P|ECH1#P|CDC25A#P|IER3#P|SMAD3#P|PRPF4#P|ABCC5#P|PRSS23#P|ZDHHC6#P|MAD2L1#P|NRAS#P|LRP10#P|RBBP8#P|HIF1A#P|MCM10#P|MRPL12#P|APPBP2#P|MELK#P|CCDC86#P|SLC35A1#P|EXOSC9#P|SPC25#P|ASAH1#P|MCM6#P|TFDP1#P|SMC4#P|TOP2A#P|HOXA5#P|CDK1#P|VGLL4#P|HSPD1#P|MRPS2#P|MTERF3#P|CAPN1#P|RFC4#P|AURKB#P|UBE2C#P|CIRBP#P|TSKU#P|LRRC41#P|CAT#P|CDCA4#P|PNP#P|GSTM2#P|NUP88#P|HIST2H2BE#P|PWP1#P|CEP55#P|PSRC1#P|RAD51C#P|TUBB6#P|BLMH#P|NCAPH#P|GATA2#P|FHL2#P|USP1#P|HES1#P|CHERP#P|VRK1#P|CTNNAL1#P|ENOPH1#P|DDX10#P|NCOA3#P|MYBL2#P|MAST2#P|BAMBI#P|PAICS#P|HSPB1#P|RFC5#P|MVP#P|TCERG1#P|CHAF1B#P|RPL39L#P|NUSAP1#P|PGRMC1#P|KIF20A#P|CDC6#P|CCNF#P|MCM5#P|SPDL1#P|PSMG1#P|SNCA#P|CTSD#P|NIPSNAP1#P|CDC45#P|HJURP#P|CYCS#P|RRP1B#P|POLD4#P|WDTC1#P|UPK1A#P|IFRD2#P|STAP2#P|RAE1#P|MAT2A#P|SPDEF#P|AURKA#P|POLE2#P|MTHFD2#P|UBR7#P|ABHD4#P|EED#P|CD320#P|TIMELESS#P|XBP1#P|EXO1#P|PCNA#P|NCAPG2#P|SMC2#P|TEX10#P|CDCA8#P|RNPS1#P|NBR1#P|RBKS#P|SLC2A6#P|JMJD6#P|DTL#P|NUP93#P|BCL2#P|RRS1#P|SCCPDH#P|LMNB1#P|GPER1#P|YPEL5#P|SLC25A32#P|PHGDH#P|CKS2#P|CDC20#P
mepivacaine	SCN10A#P	GLI2#P|HSPA8#P|ZMYM2#P|TACSTD2#P|SNAP25#P|MYLK#P|BMP4#P|USP22#P
conivaptan	AVPR1A#P|AVPR2#P	SNAP25#P|PAN2#P|GNAI1#P
triamcinolone	NR3C1#P	PNKP#P|PAN2#P
estrone	ESR1#P	SNAP25#P|PRSS23#P|IKZF1#P|EGF#P|RBM34#P
clonazepam	GABRA1#P	CASP10#P|PAN2#P|PRPF4#P|PTGS2#P
reboxetine	SLC6A2#P	IL1B#P|DNAJA3#P|PAN2#P
balsalazide	PPARG#P|PTGS2#P|PTGS1#P|ALOX5#P	IKZF1#P|CASP10#P|MYLK#P
protriptyline	SLC6A2#P|SLC6A4#P	EGF#P|RBM34#P
acetazolamide	CA1#P|CA2#P|CA4#P|CA12#P|CA14#P|CA3#P|CA7#P	HSPA8#P|IKZF1#P|XIST#P|PAN2#P|ADRB2#P
dopamine	DRD2#P|DRD1#P|DRD5#P|DRD3#P|DRD4#P|SLC6A3#P|DBH#P	CASP10#P
nateglinide	ABCC8#P	PAN2#P
omeprazole	ATP4A#P	MELK#P
indometacin	PTGS2#P|PLA2G2A#P	GNAI1#P
piroxicam	PTGS2#P	MELK#P
ritodrine	ADRB2#P	SPP1#P|CXCL2#P|SGCB#P
naproxen	PTGS1#P|PTGS2#P	MYLK#P|MELK#P
paricalcitol	VDR#P	BHLHE40#P|CTSD#P|ADGRE5#P|NFKBIA#P|TSKU#P|TCEA2#P|XPO7#P|GNAI1#P|METRN#P
testosterone	AR#P	MELK#P
enzalutamide	AR#P	GNAI1#P
bumetanide	SLC12A1#P|SLC12A2#P|SLC12A4#P|SLC12A5#P	CXCL2#P
rabeprazole	ATP4A#P	CXCL2#P
doxepin	HRH1#P|HRH2#P|SLC6A2#P|SLC6A4#P|HTR2A#P|HTR2B#P|HTR2C#P|CHRM1#P|CHRM2#P|CHRM3#P|CHRM4#P|CHRM5#P|HTR1A#P	GNAI1#P|GDF15#P|MEF2C#P|CXCL2#P
phenytoin	SCN5A#P|SCN1A#P	SPP1#P|MYLK#P|XIST#P
epirubicin	CHD1#P	PLK1#P|NUP85#P|ERBB2#P|MNS1#P|HEXA#P|CCNB2#P|SFN#P|ZNF654#P|DBF4#P|ST6GALNAC2#P|ZWILCH#P|HTATSF1#P|XPNPEP1#P|BRIX1#P|SRP14#P|BRCA1#P|NFKBIA#P|BUB1#P|EIF5#P|CASP2#P|PARP2#P|G3BP1#P|ECH1#P|MAN2B1#P|ZDHHC6#P|MELK#P|EXOSC9#P|ASAH1#P|CENPN#P|AKAP8L#P|MTERF3#P|TSKU#P|CEBPA#P|CENPF#P|PPRC1#P|CDKN1B#P|HEATR1#P|FHL2#P|USP1#P|CTNNAL1#P|ERCC6L#P|CKS1B#P|RNASEH2A#P|BIRC2#P|KIF20A#P|STIL#P|NUP62#P|DNM1L#P|LOXL1#P|RACGAP1#P|SORBS3#P|CCNE2#P|EZH2#P|CD320#P|SCAND1#P|CHEK1#P|HADH#P|BMP1#P|C1orf112#P|MSH6#P|TMPO#P|TPX2#P|RFC2#P|SUV39H1#P|MRPL22#P|YKT6#P|ATG3#P|CCNA2#P|P4HA2#P|CENPA#P|LRPAP1#P|BAG3#P|GMNN#P|TIPIN#P|RAP1GAP#P|PHGDH#P|ITGA3#P|TMEM109#P|LSM2#P|TRAPPC6A#P|CHEK2#P|BECN1#P|KIF18A#P|NEK2#P|EPRS#P|RAB27A#P|LBR#P|ANP32B#P|PRPF4#P|PRSS23#P|HIF1A#P|ECT2#P|DCK#P|SMC4#P|TOP2A#P|MRPS2#P|RFC4#P|POLD1#P|HIST2H2BE#P|PSRC1#P|BTG2#P|PARP1#P|VRK1#P|CEP192#P|CCNF#P|SPDL1#P|HJURP#P|RRP1B#P|STAP2#P|MBNL1#P|GNAS#P|TSEN2#P|MTHFD2#P|EXO1#P|CDCA8#P|SLC2A6#P|KIF23#P|NUP93#P|SEPHS1#P|ACBD3#P|PXMP2#P|TTK#P|RPA2#P|FAS#P|DLGAP5#P|UBE3B#P|RPA1#P|MYLK#P|FDFT1#P|TIMM9#P|SLC11A2#P|CDK2#P|KIF14#P|FBXO5#P|E2F1#P|EPB41L2#P|CBX3#P|UMPS#P|UBE2L6#P|TK1#P|ITGB5#P|KIF18B#P|DCLRE1A#P|PIK3C2B#P|CDKN1A#P|POLR3K#P|SMAD3#P|SPC25#P|TAF5#P|ASCC3#P|GEMIN2#P|TDP1#P|AURKB#P|CIRBP#P|ELOVL6#P|MCM10#P|LANCL2#P|GATA3#P|VPS9D1#P|XIST#P|OXCT1#P|CKS2#P|NCAPG#P|GADD45A#P|BLM#P|MVP#P|PGRMC1#P|GRN#P|NPEPL1#P|PSMG1#P|PIK3R3#P|GAA#P|SNCA#P|RMI1#P|CYCS#P|CDCA3#P|AURKA#P|ABHD4#P|RNPS1#P|GADD45B#P|FZD7#P|KLHDC2#P|CALCOCO1#P|MYC#P|SH3BP5#P|CCDC92#P|KDM5B#P|CDC25C#P|CCNB1#P|ALDH7A1#P|CTSL#P|DDR1#P|RPP30#P|PTPN6#P|TNFRSF10B#P|UBAP2L#P|WDR74#P|IL4R#P|YPEL5#P|DECR1#P|ASPM#P|TMEM97#P|GTSE1#P|INPP1#P|GABPB1#P|NEIL3#P|POLR3G#P|BORA#P|CDKN3#P|NUDT21#P|DDIT4#P|CORO1A#P|TIMP2#P|ZSWIM8#P|PHLDA3#P|SCARB1#P|PUF60#P|APPBP2#P|EXOSC8#P|BUB1B#P|NDC80#P|UBE2C#P|NUP88#P|TUBB6#P|NCAPH#P|GATA2#P|U2SURP#P|DNASE1L1#P|MYBL2#P|TRIAP1#P|SSRP1#P|CRELD1#P|RPA3#P|LPCAT3#P|BLCAP#P|MIS12#P|NUSAP1#P|TP53TG1#P|MNAT1#P|NUP54#P|CTSD#P|CDC45#P|PCMT1#P|HYOU1#P|CDC20#P|MAT2A#P|POLE2#P|GRWD1#P|UBR7#P|HMMR#P|JMJD6#P|CKAP5#P|NADSYN1#P|DUSP4#P|NUP205#P|PARPBP#P|PSIP1#P|THOC1#P|LRP10#P|FOSL1#P|CENPI#P|CHAF1B#P|SLC35F2#P|DEPDC1#P|PBK#P|GLRX#P|SMC2#P|POLA2#P|MCM3#P|PLA2G15#P|PLK4#P|DNA2#P|KIF11#P|MIS18A#P|ZMAT3#P|SESN1#P|SKA1#P|PLK3#P|WDHD1#P|RFC3#P|FDXR#P|TMEM2#P|KIF20B#P|LMNB1#P|KIF15#P|NFKBIB#P|PRAF2#P|RRAGA#P|CDK5R1#P|DDB2#P|PRIM1#P|ENOPH1#P|ABCB6#P|GINS1#P
fomepizole	ADH1A#P|ADH1B#P|ADH1C#P|CAT#P	MYLK#P
pentoxifylline	PDE4B#P|ADORA1#P|PDE5A#P|PDE4A#P|ADORA2A#P	PTGS2#P|DNMT3A#P
nimodipine	CACNA1C#P|CACNA1D#P|CACNA1F#P|CACNA1S#P|CACNB1#P|CACNB2#P|CACNB3#P|CACNB4#P	SNAP25#P|SPP1#P|XIST#P
enalapril	ACE#P	SNAP25#P
rasagiline	MAOB#P|BCL2#P	MYLK#P
mebendazole	TUBA1A#P|TUBB4B#P	MYLK#P|FDFT1#P|SNAP25#P|SPP1#P|GNA15#P
dexfenfluramine	SLC6A4#P	SPP1#P
rocuronium	CHRNA2#P|CHRM2#P	SPP1#P
quinidine	SCN5A#P	SPP1#P
tiagabine	SLC6A1#P	SNAP25#P|MYLK#P
loperamide	OPRM1#P|OPRD1#P|OPRK1#P	SPP1#P|CEBPB#P
gliclazide	ABCC8#P	MYLK#P|XIST#P|CDKN1B#P
lurasidone	DRD2#P|HTR2A#P	BPHL#P|SPP1#P|CXCL2#P|GNAI1#P
hydroxyurea	RRM1#P	GNAI1#P
venlafaxine	SLC6A4#P|SLC6A2#P	SNAP25#P
lidocaine	SCN10A#P|SCN9A#P|SCN5A#P	GNAI1#P|MEF2C#P
ivacaftor	CFTR#P	CXCL2#P
methylprednisolone	NR3C1#P	GNAI1#P
fluvoxamine	SLC6A4#P	MYLK#P|CXCL2#P|RASA1#P
formoterol	ADRB2#P	MYLK#P
risperidone	HTR2A#P|DRD2#P	GNAI1#P
methimazole	TPO#P	SNAP25#P|RASA1#P
etoricoxib	PTGS2#P	BASP1#P
fluphenazine	DRD2#P|DRD1#P	GNAI1#P|CXCL2#P|RASA1#P
dipyridamole	PDE10A#P|ADA#P|PDE5A#P|PDE4A#P	MEF2C#P
sumatriptan	HTR1D#P|HTR1B#P|HTR1F#P|HTR1A#P	MELK#P|PXN#P|UBE2L6#P|TRIM13#P|XIST#P
vismodegib	SMO#P	SNAP25#P|MFSD10#P|CXCL2#P
prazosin	ADRA1A#P|ADRA1B#P|ADRA1D#P	XIST#P|ZFP36#P|PXN#P
triflupromazine	DRD1#P|DRD2#P|HTR2B#P|CHRM1#P|CHRM2#P	GDF15#P|PXN#P
trifluridine	TYMS#P	MELK#P|POLE2#P|CSRP1#P
mirtazapine	HTR2A#P|HTR3A#P|ADRA2A#P	GNAI1#P|CXCL2#P
oxybutynin	CHRM3#P|CHRM2#P|CHRM1#P	GDF15#P|PXN#P|DUSP3#P
trilostane	HSD3B1#P|HSD3B2#P|ESR1#P|ESR2#P	MELK#P|MFSD10#P|CXCL2#P
metolazone	SLC12A3#P	PTGS2#P
gabapentin	CACNA2D1#P|CACNA2D2#P|CACNA1B#P	PXN#P
milrinone	PDE3A#P	GNAI1#P|DNMT3A#P
scopolamine	CHRM1#P	TLR4#P
anagrelide	PDE3A#P	SPP1#P|CD40#P
prednisone	NR3C1#P	CNPY3#P|GNAI1#P
guanethidine	SLC6A2#P	TNFRSF21#P
epinephrine	ADRA1A#P|ADRA1B#P|ADRB1#P|ADRB2#P|ADRA2A#P|ADRA2B#P	CHN1#P|ZNF395#P
miglitol	MGAM#P|GAA#P|GANAB#P|GANC#P	SOX2#P|TRAPPC3#P
raloxifene	ESR1#P|ESR2#P	KLHDC2#P|NOLC1#P|ERBB2#P|CHIC2#P|CDH3#P|CTSL#P|CDK19#P|YKT6#P|CCNA2#P|PSMB8#P|MCM3#P|FDFT1#P|TSC22D3#P|SLC11A2#P|GMNN#P|ATMIN#P|DHRS7#P|BNIP3#P|HEBP1#P|BIRC5#P|ID2#P|RAP1GAP#P|RUVBL1#P|GABPB1#P|MBNL2#P|HPRT1#P|DDIT4#P|DENND2D#P|NFKBIA#P|ATP1B1#P|PIK3C2B#P|EIF5#P|HIST1H2BK#P|PARP2#P|ECH1#P|CDC25A#P|SMAD3#P|ABCC5#P|CNDP2#P|PRSS23#P|LRP10#P|DCK#P|ASNS#P|APPBP2#P|CCDC86#P|SLC35A1#P|UTP14A#P|ADAM10#P|SMC4#P|TOP2A#P|HOXA5#P|CDK1#P|CAT#P|CDCA4#P|PNP#P|GSTM2#P|GATA3#P|NUP88#P|HIST2H2BE#P|TUBB6#P|BLMH#P|GATA2#P|FHL2#P|USP1#P|NCOA3#P|BAMBI#P|PAICS#P|RFC5#P|MVP#P|PSMG1#P|CTSD#P|PRKCD#P|CDC45#P|RRP1B#P|POLD4#P|CDC20#P|AURKA#P|POLE2#P|ME2#P|RFX5#P|TSEN2#P|MTHFD2#P|EZH2#P|ABHD4#P|CSRP1#P|CD320#P|PCNA#P|TEX10#P|SLC2A6#P|BCL2#P|CCND1#P|RRS1#P|CHEK2#P|TSKU#P|NRIP1#P|TIPARP#P|MYLK#P|GHR#P|DDX10#P|TIAM1#P
aprepitant	TACR1#P	DNAJA3#P
avanafil	PDE5A#P	ICAM1#P
nalbuphine	OPRK1#P|OPRM1#P|OPRD1#P	XIST#P|NUP85#P|TNIP1#P
acetylcysteine	GSS#P|SLC7A11#P	TNFRSF21#P|SNAP25#P|CREB1#P
progesterone	PGR#P|ESR1#P|NR3C2#P	SOX2#P|EGF#P|RBM34#P
apixaban	F10#P	DNAJA3#P|PAK6#P
zolpidem	GABRA1#P	PIK3R3#P|BMP4#P
ticagrelor	P2RY12#P	YME1L1#P|PAK1#P|BMP4#P
valsartan	AGTR1#P	ITGAE#P|CASP10#P|TGFBR2#P|BMP4#P|RASA1#P
diethylstilbestrol	ESR1#P|ESRRG#P|ESR2#P	NFKB2#P|PAK1#P|ETV1#P|PRSS23#P|DNAJB6#P
clofibrate	PPARA#P	NFKB2#P|CREB1#P|ITGAE#P|SIRT3#P
doxapram	KCNK3#P|KCNK9#P	CAB39#P|XIST#P|RASA1#P
dapagliflozin	SLC5A2#P	CASP7#P|TGFBR2#P|FGFR2#P|DAXX#P|GLI2#P|SIRT3#P|BMP4#P|NFKBIE#P
flavoxate	CHRM2#P|CHRM1#P	ACKR3#P|PTGS2#P|PRKCH#P|GLI2#P|DNAJA3#P
zonisamide	SCN1A#P|SCN2A#P|SCN3A#P|SCN4A#P|SCN5A#P|SCN9A#P|SCN11A#P|SCN1B#P|SCN2B#P|SCN3B#P|SCN4B#P|CACNA1G#P|CACNA1H#P|CACNA1I#P	ACKR3#P|SPP1#P|PTGS2#P|TGFBR2#P|ETV1#P|DAXX#P|ACOT9#P
ivermectin	GLRA3#P	FGFR2#P|NFKB2#P|BMP4#P|PIK3R3#P|SIRT3#P|YME1L1#P
donepezil	ACHE#P	TRAPPC3#P|EGF#P|FBXO11#P|SIRT3#P|ACOT9#P|RBM34#P|TGFBR2#P|FGFR2#P
benazepril	ACE#P	ADI1#P|PTGS2#P|DAXX#P|NFATC3#P|BMP4#P
pimavanserin	HTR2A#P	MYLK#P|GNAI1#P
masoprocol	ALOX5#P	GNAS#P
bromocriptine	DRD2#P|DRD3#P	GDF15#P
bimatoprost	PTGFR#P|PTGER1#P|PTGER3#P	MELK#P
bezafibrate	PPARA#P|PPARD#P|PPARG#P	MELK#P|CXCL2#P
amrinone	PDE3A#P	CXCL2#P
methyldopa	ADRA2A#P	MELK#P
macitentan	EDNRA#P|EDNRB#P	CNPY3#P|XIST#P
levetiracetam	SV2A#P|CACNA1B#P	COL11A1#P|MELK#P
rivaroxaban	F10#P	MELK#P
loratadine	HRH1#P	MFSD10#P|CXCL2#P|SNAP25#P
repaglinide	ABCC8#P	SPP1#P|MYLK#P
rosuvastatin	HMGCR#P	MFSD10#P|ACAT2#P|SNAP25#P|MYLK#P|FDFT1#P|MEF2C#P|HMGCS1#P
agomelatine	HTR2C#P|MTNR1A#P|MTNR1B#P	MEF2C#P
tolbutamide	ABCC8#P	MELK#P
allopurinol	XDH#P	MYLK#P
cabergoline	DRD2#P	MELK#P
aclidinium	CHRM1#P|CHRM2#P|CHRM3#P|CHRM4#P|CHRM5#P	CXCL2#P
pitavastatin	HMGCR#P	HMGCR#P|ACAT2#P|FDFT1#P|HMGCS1#P|NSDHL#P|SQLE#P|INSIG1#P|ELOVL6#P|ACLY#P|CXCL2#P|SLC2A6#P
amantadine	GRIN3A#P|DRD2#P	BASP1#P|CXCL2#P
diltiazem	CACNG1#P	GNAI1#P|CXCL2#P
trazodone	HTR2A#P|HTR2C#P|SLC6A4#P|HTR1A#P	MFSD10#P
estramustine	MAP2#P|MAP1A#P|ESR1#P|ESR2#P	SPP1#P|FHL2#P|PRSS23#P|CXCL2#P|SNAP25#P
quinapril	ACE#P	MYLK#P
zafirlukast	CYSLTR1#P	SNAP25#P
fexofenadine	HRH1#P	MELK#P|GNAI1#P|CXCL2#P
almitrine	ATP1A1#P	MYLK#P
saxagliptin	DPP4#P	CXCL2#P
lisinopril	ACE#P	MMP2#P|UFM1#P
amsacrine	TOP2A#P	PLK1#P|NUP85#P|FOXM1#P|DUSP4#P|PSIP1#P|BRCA1#P|EIF5#P|PARP2#P|USP1#P|KIF20A#P|EZH2#P|MSH6#P|SUV39H1#P|YKT6#P|CCNA2#P|MCM3#P|PHGDH#P|TMEM109#P|CDC25A#P|PRSS23#P|SMC4#P|CAT#P|HIST2H2BE#P|PSRC1#P|RFC5#P|CCNF#P|RPIA#P|FAS#P|STMN1#P|KIF14#P|SESN1#P|CDKN1A#P|TAF5#P|NUP188#P|PEX11A#P|PIK3R3#P|POLD4#P|CDCA3#P|TIMELESS#P|CBLB#P|BIRC5#P|DECR1#P|GABPB1#P|DDIT4#P|MAP3K4#P|CDK1#P|DDB2#P|MYBL2#P|SSRP1#P|NUSAP1#P|CDC45#P|CDC20#P|UBR7#P
quetiapine	HTR2A#P|DRD2#P	CXCL2#P
azelastine	HRH1#P	CXCL2#P
sertindole	DRD2#P|HTR2A#P|HTR2C#P|HTR6#P	CXCL2#P
levonorgestrel	PGR#P|SRD5A1#P|ESR1#P	TPM1#P|PKIG#P|CXCL2#P|UGDH#P|BAMBI#P
atorvastatin	HMGCR#P	HMGCR#P|INSIG1#P|ACAT2#P|ELOVL6#P|NSDHL#P|FDFT1#P|ACLY#P|HMGCS1#P|SLC2A6#P|CXCL2#P
escitalopram	SLC6A4#P	CXCL2#P
sertraline	SLC6A4#P	MEF2C#P
dihydroergotamine	HTR1D#P|HTR1B#P	MYLK#P
valrubicin	TOP2A#P	PSIP1#P|CCNE2#P|SESN1#P|CDKN1A#P|GRWD1#P|ENOPH1#P
levamisole	CHRNA3#P	MYLK#P
floxuridine	TYMS#P	PDSS1#P|PLK1#P|NUP85#P|CETN3#P|TMEM2#P|BHLHE40#P|BOP1#P|EIF4E#P|MSH6#P|MYC#P|CCDC92#P|TMEM50A#P|TP53I3#P|TPX2#P|CYB5R1#P|NOL11#P|PFAS#P|TTK#P|CCNB2#P|CCNB1#P|ALDH7A1#P|CTSL#P|FAS#P|WDR3#P|ACAT2#P|YKT6#P|CCNA2#P|DLGAP5#P|PRMT5#P|P4HA2#P|HNRNPD#P|MCM3#P|SFN#P|DKC1#P|CENPA#P|STMN1#P|DBF4#P|TSC22D3#P|ST6GALNAC2#P|RRP15#P|NDC1#P|KIF14#P|ATP6V1D#P|MDM2#P|CLCA2#P|TNFRSF10B#P|HEBP1#P|BIRC5#P|GPR87#P|DNAJB1#P|PSIP1#P|EPS8L2#P|KIF15#P|CBX3#P|C2CD5#P|TGFB3#P|TIPIN#P|RAP1GAP#P|RUVBL1#P|INPP1#P|RABEPK#P|POLR3G#P|CDKN3#P|PPP2R3C#P|SUZ12#P|ZMAT3#P|SESN1#P|FAM20B#P|DDIT4#P|NFKBIA#P|BUB1#P|ORC5#P|ATP1B1#P|MLLT11#P|EBNA1BP2#P|CDKN1A#P|KIF4A#P|HIST1H2BK#P|CCND3#P|PPAT#P|PARP2#P|G3BP1#P|LBR#P|IARS2#P|UBE2A#P|ST7#P|MAN2B1#P|ZSWIM8#P|SMAD3#P|PHLDA3#P|LRP10#P|SLC25A13#P|EPHA2#P|MRPL12#P|BAX#P|MDN1#P|RGS2#P|FOSL1#P|EXOSC9#P|SPC25#P|ASCC3#P|GEMIN2#P|SMC4#P|ANXA7#P|TOP2A#P|HSPA8#P|NOTCH1#P|FAM86B1#P|TIGAR#P|MTERF3#P|UBE2C#P|ELOVL6#P|PPP2R5A#P|SLC25A4#P|KEAP1#P|CDCA4#P|POLG2#P|GATA3#P|NUP88#P|DDB2#P|PSRC1#P|RAD51C#P|BTG2#P|KPNA2#P|TUBB6#P|NHP2#P|PDGFA#P|TRDMT1#P|HEATR1#P|FHL2#P|USP1#P|ENOPH1#P|GADD45A#P|DDX10#P|HDAC2#P|PAICS#P|ABCB6#P|SRSF3#P|MVP#P|TRIM22#P|BLCAP#P|NUSAP1#P|KIF20A#P|PDS5A#P|NPEPL1#P|CCNF#P|TAP1#P|SMC3#P|PSMG1#P|LOXL1#P|PYGL#P|FPGS#P|ALG3#P|EEF2KMT#P|PCMT1#P|CYCS#P|HNRNPA2B1#P|RRP1B#P|POLD4#P|CDCA3#P|CDC20#P|IFRD2#P|MAT2A#P|AURKA#P|GHR#P|POLE2#P|HIST1H2BH#P|RFX5#P|TSEN2#P|EZH2#P|FDXR#P|ABHD4#P|ABCE1#P|AGL#P|PYCR1#P|CDK7#P|CXCL2#P|SLC2A6#P|FZD7#P|PIDD1#P|BCL2#P|SMARCC1#P|MIR22HG#P|MRPL3#P|HEXA#P|RPIA#P|SLC25A32#P|GABPB1#P|INPP4B#P|EIF5#P|ANKRA2#P|PUF60#P|DGKA#P|SMARCA4#P|BLMH#P|ZNF337#P|GLRX#P|TCFL5#P|BCLAF1#P|JMJD6#P|NUP93#P|METRN#P
exemestane	CYP19A1#P	UGDH#P
naftifine	SQLE#P	XIST#P
